customer_id,full_name,customer_email,customer_password,customer_street,customer_city,customer_state,customer_zipcode
4,Mary Jones,XXXXXXXXX,XXXXXXXXX,8324 Little Common,San Marcos,CA,92069
14,Katherine Smith,XXXXXXXXX,XXXXXXXXX,5666 Hazy Pony Square,Pico Rivera,CA,90660
15,Jane Luna,XXXXXXXXX,XXXXXXXXX,673 Burning Glen,Fontana,CA,92336
18,Robert Smith,XXXXXXXXX,XXXXXXXXX,2734 Hazy Butterfly Circle,Martinez,CA,94553
35,Margaret Wright,XXXXXXXXX,XXXXXXXXX,9456 Sleepy Jetty,Oceanside,CA,92056
40,Mary Smith,XXXXXXXXX,XXXXXXXXX,7358 Rocky Villas,Long Beach,CA,90805
44,Howard Smith,XXXXXXXXX,XXXXXXXXX,1356 Easy Plaza,Napa,CA,94558
50,Mary Kim,XXXXXXXXX,XXXXXXXXX,938 Rustic Pine Ridge,San Bernardino,CA,92410
59,Douglas James,XXXXXXXXX,XXXXXXXXX,2306 Green Lane,Sunnyvale,CA,94086
70,Mary Simmons,XXXXXXXXX,XXXXXXXXX,5553 Cinder Harbour,Los Angeles,CA,90042
72,Frank Gillespie,XXXXXXXXX,XXXXXXXXX,5332 Heather Hills Isle,Vista,CA,92084
76,Joseph Young,XXXXXXXXX,XXXXXXXXX,7605 Tawny Horse Falls,Los Angeles,CA,90016
89,Sean Smith,XXXXXXXXX,XXXXXXXXX,9126 Wishing Expressway,Escondido,CA,92027
106,Lauren Freeman,XXXXXXXXX,XXXXXXXXX,2783 Foggy Mews,Napa,CA,94558
114,Alice Warner,XXXXXXXXX,XXXXXXXXX,4566 Burning Deer Meadow,Bellflower,CA,90706
115,Mary Smith,XXXXXXXXX,XXXXXXXXX,1613 Broad Beach,West Covina,CA,91790
125,Mary Gallagher,XXXXXXXXX,XXXXXXXXX,9831 Sunny Cloud Valley,Oxnard,CA,93030
139,Daniel Maxwell,XXXXXXXXX,XXXXXXXXX,9468 Red Corner,San Diego,CA,92104
149,Shirley Mcclain,XXXXXXXXX,XXXXXXXXX,9729 Emerald Pony Mount,Colton,CA,92324
156,Mary Smith,XXXXXXXXX,XXXXXXXXX,2291 Thunder Leaf Corners,Los Angeles,CA,90001
157,Catherine Chan,XXXXXXXXX,XXXXXXXXX,7125 Silent Expressway,Citrus Heights,CA,95610
165,Joseph Ewing,XXXXXXXXX,XXXXXXXXX,7129 Fallen Trace,Antioch,CA,94509
172,Lauren Rush,XXXXXXXXX,XXXXXXXXX,6229 Indian Robin Parade,Chino,CA,91710
175,Ronald Guzman,XXXXXXXXX,XXXXXXXXX,8284 Pleasant Pine Villas,Los Angeles,CA,90042
179,Mary Rodgers,XXXXXXXXX,XXXXXXXXX,8916 Round Zephyr Ridge,Los Angeles,CA,90033
183,Wayne Smith,XXXXXXXXX,XXXXXXXXX,4197 Lazy Diversion,Hayward,CA,94541
187,Mildred Herrera,XXXXXXXXX,XXXXXXXXX,8771 Middle Quail Heath,Antioch,CA,94509
188,Mary Smith,XXXXXXXXX,XXXXXXXXX,771 Noble Parkway,Los Angeles,CA,90019
195,Richard Smith,XXXXXXXXX,XXXXXXXXX,9363 Dusty Butterfly Extension,Modesto,CA,95350
216,Martha Davis,XXXXXXXXX,XXXXXXXXX,7469 Misty Log Estates,Visalia,CA,93277
218,Charles Tyler,XXXXXXXXX,XXXXXXXXX,4845 Thunder Embers Hollow,La Puente,CA,91744
220,Janet Smith,XXXXXXXXX,XXXXXXXXX,4629 Dusty Pony Highway,Salinas,CA,93906
226,Rose Sanders,XXXXXXXXX,XXXXXXXXX,4583 Heather Blossom Diversion,Oxnard,CA,93030
237,Mary Smith,XXXXXXXXX,XXXXXXXXX,3282 Indian Hollow,San Jose,CA,95148
244,Mary Hutchinson,XXXXXXXXX,XXXXXXXXX,4502 Crystal Turnabout,Long Beach,CA,90805
260,Kenneth Smith,XXXXXXXXX,XXXXXXXXX,7000 Rocky Pond End,North Hollywood,CA,91605
261,Mary Parker,XXXXXXXXX,XXXXXXXXX,6470 Round Pioneer Extension,Cerritos,CA,90703
264,Mary Smith,XXXXXXXXX,XXXXXXXXX,7213 Cozy Quay,Goleta,CA,93117
271,Justin White,XXXXXXXXX,XXXXXXXXX,4906 Umber Lookout,Fremont,CA,94538
276,Christina Wright,XXXXXXXXX,XXXXXXXXX,4581 Emerald Gate Park,West Covina,CA,91790
283,Mary Smith,XXXXXXXXX,XXXXXXXXX,9765 Quaking Turnabout,Wilmington,CA,90744
285,Shirley Smith,XXXXXXXXX,XXXXXXXXX,7595 Rocky Island Trail,Lancaster,CA,93535
286,Mary Baker,XXXXXXXXX,XXXXXXXXX,1795 Dusty Hills Village,Santa Cruz,CA,95060
302,Mary Nguyen,XXXXXXXXX,XXXXXXXXX,3582 Quiet Cider Lane,Fullerton,CA,92833
315,Danielle Hampton,XXXXXXXXX,XXXXXXXXX,1846 Cotton Oak Parkway,Modesto,CA,95350
324,Jean Clay,XXXXXXXXX,XXXXXXXXX,690 Amber Moor,Pico Rivera,CA,90660
332,Mary Smith,XXXXXXXXX,XXXXXXXXX,8416 Emerald Dale,Placentia,CA,92870
334,Kathleen Oconnor,XXXXXXXXX,XXXXXXXXX,6075 Shady Farms,Tracy,CA,95376
339,Mary Greene,XXXXXXXXX,XXXXXXXXX,4271 Hazy Close,Long Beach,CA,90805
341,Mary Smith,XXXXXXXXX,XXXXXXXXX,141 Dewy Plaza,Carlsbad,CA,92009
351,John Singh,XXXXXXXXX,XXXXXXXXX,7471 Easy Edge,Stockton,CA,95206
355,Katherine Barker,XXXXXXXXX,XXXXXXXXX,6547 Sunny Isle,Carmichael,CA,95608
362,Mary Smith,XXXXXXXXX,XXXXXXXXX,153 Hidden Range,Diamond Bar,CA,91765
364,Jason Mcmahon,XXXXXXXXX,XXXXXXXXX,6316 Quiet Pines,Tulare,CA,93274
365,Shirley Smith,XXXXXXXXX,XXXXXXXXX,1102 Pleasant Maze,Garden Grove,CA,92843
367,Mary Smith,XXXXXXXXX,XXXXXXXXX,9768 Merry Cloud Court,San Francisco,CA,94109
377,Mary Smith,XXXXXXXXX,XXXXXXXXX,3293 Golden Forest Orchard,Lancaster,CA,93535
383,Evelyn Smith,XXXXXXXXX,XXXXXXXXX,8898 Shady Private,Huntington Beach,CA,92646
388,Robert Smith,XXXXXXXXX,XXXXXXXXX,3538 Umber Robin Manor,Los Angeles,CA,90046
389,Angela Sanford,XXXXXXXXX,XXXXXXXXX,1870 Crystal Blossom Towers,Modesto,CA,95351
415,Mary Allen,XXXXXXXXX,XXXXXXXXX,3983 Golden By-pass,San Diego,CA,92113
418,Mary Jackson,XXXXXXXXX,XXXXXXXXX,1809 Misty Pine Pines,Gardena,CA,90247
421,Mary Smith,XXXXXXXXX,XXXXXXXXX,7360 Dewy Island Bank,San Ramon,CA,94583
423,Mary Weber,XXXXXXXXX,XXXXXXXXX,3305 Foggy Vale,Huntington Beach,CA,92646
428,Andrew Smith,XXXXXXXXX,XXXXXXXXX,7016 Grand Link,Spring Valley,CA,91977
430,Mary Smith,XXXXXXXXX,XXXXXXXXX,3482 Indian Pony Towers,Porterville,CA,93257
438,Diane Smith,XXXXXXXXX,XXXXXXXXX,8237 Cozy Hickory Line,Carlsbad,CA,92009
444,Walter Lambert,XXXXXXXXX,XXXXXXXXX,2638 Blue Rise Hollow,Sunnyvale,CA,94086
